scientificName,decimalLatitude,decimalLongitude,eventDate,taxonRank,kingdom,phylum,class,order,family,genus,species,recordedBy,coordinateUncertaintyInMeters,source,district
Lonicera japonica Thunb.,-12.113445,-77.030906,2026-01-17T20:29,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera japonica,David Valenzuela,537,GBIF,MIRAFLORES
Schinus terebinthifolia Raddi,-12.126984,-77.033815,2026-01-17T03:25,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,Schinus terebinthifolia,David Valenzuela,425,GBIF,MIRAFLORES
Physalis peruviana L.,-12.119107,-77.040148,2026-02-06T15:22:11,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Physalis,Physalis peruviana,jocean,6,GBIF,MIRAFLORES
Datura stramonium L.,-12.111029,-77.043236,2026-02-06T15:40:46,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Datura,Datura stramonium,jocean,6,GBIF,MIRAFLORES
Nicandra physalodes (L.) Gaertn.,-12.119055,-77.03854,2026-02-06T15:18:56,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Nicandra,Nicandra physalodes,jocean,6,GBIF,MIRAFLORES
Oxalis debilis Kunth,-12.111929,-77.043515,2026-02-06T15:38:32,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis debilis,jocean,6,GBIF,MIRAFLORES
Ipomoea indica (Burm.) Merr.,-12.131244,-77.03143,2026-02-16T13:37:01,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea indica,Elliot Greiner,27,GBIF,MIRAFLORES
Heliotropium curassavicum L.,-12.127979,-77.036265,2026-02-21T00:31,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae,Heliotropium,Heliotropium curassavicum,Hubert Szczygieł,8,GBIF,MIRAFLORES
Stellaria media (L.) Vill.,-12.120415,-77.034883,2026-02-16T11:05:57,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria media,Elliot Greiner,17,GBIF,MIRAFLORES
Oxalis corniculata L.,-12.11911,-77.033803,2026-03-15T13:44:20,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis corniculata,Elliot Greiner,13,GBIF,MIRAFLORES
Oxalis corniculata L.,-12.119051,-77.032429,2026-03-15T14:39:10,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis corniculata,Elliot Greiner,12,GBIF,MIRAFLORES
