scientificName,decimalLatitude,decimalLongitude,eventDate,taxonRank,kingdom,phylum,class,order,family,genus,species,recordedBy,coordinateUncertaintyInMeters,source,district
"Melanosuchus niger (Spix, 1825)",-12.610645,-69.042419,2026-01-02T09:12:15,SPECIES,Animalia,Chordata,Crocodylia,NA,Alligatoridae,Melanosuchus,Melanosuchus niger,abriberman,NA,GBIF,TAMBOPATA
"Anhinga anhinga (Linnaeus, 1766)",-12.608778,-69.043854,2026-01-02T08:38:03,SPECIES,Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga,Anhinga anhinga,abriberman,NA,GBIF,TAMBOPATA
"Boa constrictor Linnaeus, 1758",-12.608573,-69.190035,2026-01-01T21:31:55,SPECIES,Animalia,Chordata,Squamata,NA,Boidae,Boa,Boa constrictor,Suze LdA,40,GBIF,TAMBOPATA
"Monasa nigrifrons (von Spix, 1824)",-12.607547,-69.080742,2026-01-04T12:02:10,SPECIES,Animalia,Chordata,Aves,Piciformes,Bucconidae,Monasa,Monasa nigrifrons,Simon RB,NA,GBIF,TAMBOPATA
"Anartia amathea (Linnaeus, 1758)",-12.610253,-69.04895,2026-01-02T07:56:19,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anartia,Anartia amathea,abriberman,NA,GBIF,TAMBOPATA
"Ara ararauna (Linnaeus, 1758)",-12.954651,-69.488091,2026-01-11T23:36:42,SPECIES,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara ararauna,Truman Gilliam,31057,GBIF,TAMBOPATA
"Ameerega trivittata (Spix, 1824)",-12.185146,-69.549022,2026-01-18,SPECIES,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,Ameerega trivittata,Alonso Huyhua Cornejo,43095,GBIF,TAMBOPATA
Colubridae,-12.138547,-69.414865,2026-01-18,FAMILY,Animalia,Chordata,Squamata,NA,Colubridae,NA,NA,Alonso Huyhua Cornejo,32497,GBIF,TAMBOPATA
"Corallus hortulana (Linnaeus, 1758)",-12.200629,-69.499308,2026-01-18,SPECIES,Animalia,Chordata,Squamata,NA,Boidae,Corallus,Corallus hortulana,Alonso Huyhua Cornejo,40763,GBIF,TAMBOPATA
"Oxyrhopus occipitalis (Wied-Neuwied, 1824)",-12.05953,-69.526739,2026-01-09T18:39:58,SPECIES,Animalia,Chordata,Squamata,NA,Colubridae,Oxyrhopus,Oxyrhopus occipitalis,Raul Achahuanco Huallpa,NA,GBIF,TAMBOPATA
"Podocnemis unifilis Troschel, 1848",-12.146766,-69.58753,2026-01-23T16:00:48,SPECIES,Animalia,Chordata,Testudines,NA,Podocnemididae,Podocnemis,Podocnemis unifilis,jeffreyps,31104,GBIF,TAMBOPATA
"Hoploxypterus cayanus (Latham, 1790)",-12.052952,-69.527604,2026-01-30T16:32:53,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Hoploxypterus,Hoploxypterus cayanus,jeffreyps,155,GBIF,TAMBOPATA
"Ameerega hahneli (Boulenger, 1884)",-12.050119,-69.531822,2026-01-22T13:39:15,SPECIES,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,Ameerega hahneli,mialoren24,10,GBIF,TAMBOPATA
